Company Name,Website,Country,Industry Category,Sub-Category,Business Model,Products/Services,Funding/Investment,Partnership Opportunities,Franchise Available,Affiliate Program,Commission Rate,Founded Year,Employee Count,Revenue Range,Key Technologies,Certifications,Geographic Reach,Target Market,Notable Partnerships,Investment Stage,Sustainability Focus,Innovation Level,Market Position
Meati Foods,meati.com,USA,Food & Beverage,Alternative Protein,B2C/Retail,"Mycelium-based meat alternatives, steaks, chicken",Series C,$290M+,Distribution partnerships,No,No,N/A,2019,100-500,$50M-100M,Mycelium fermentation,Non-GMO,North America,Consumers/Retail,"Whole Foods, Target",Growth,High,High,Market Leader
Nature's Fynd,naturesfynd.com,USA,Food & Beverage,Alternative Protein,B2C/Retail,"Fy protein from volcanic microorganism, dairy alternatives",Series B,$158M+,Retail partnerships,No,No,N/A,2012,100-500,$10M-50M,Fy protein technology,Sustainable,North America,Health-conscious consumers,Major retailers,Growth,High,High,Innovative Leader
The Better Meat Co.,bettermeat.co,USA,Food & Beverage,Alternative Protein,B2B/Ingredients,"Rhiza mycelium protein, B2B ingredients",Series A,$8.1M,B2B partnerships,No,No,N/A,2018,10-50,$1M-10M,Rhiza mycelium,Clean label,North America,Food manufacturers,CPG companies,Early Growth,High,High,B2B Specialist
Libre Foods,librefoods.com,USA,Food & Beverage,Alternative Protein,B2C/Retail,"Plant-based bacon, mycelium-enhanced products",Seed,$3M,Retail partnerships,No,No,N/A,2020,10-50,$1M-10M,Mycelium enhancement,Plant-based,North America,Plant-based consumers,Retail chains,Early Stage,High,Medium,Emerging
Atlast Food Co.,atlastfood.co,USA,Food & Beverage,Alternative Protein,B2B/B2C,"Mycelium-based whole cuts, steaks",Series A,$40M,Food service partnerships,No,No,N/A,2019,50-100,$10M-50M,Mycelium whole cuts,Sustainable,North America,Restaurants/Retail,Ecovative spinout,Growth,High,High,Technology Leader
Kinoko Labs,kinoko.bio,USA,Food & Beverage,Alternative Protein,B2B/Ingredients,"Mycelium ingredients, fermentation platform",Seed,$5M,Ingredient partnerships,No,No,N/A,2021,10-50,$1M-10M,Fermentation technology,Sustainable,North America,Food companies,Ingredient suppliers,Early Stage,High,High,Technology Platform
Smallhold,smallhold.com,USA,Food & Beverage,Fresh Mushrooms,B2B/B2C,"Organic mushroom farms network, fresh mushrooms",Series A,$25M,Farm partnerships,Yes,No,N/A,2017,50-100,$10M-50M,Urban farming,Organic certified,"Brooklyn, Austin, LA",Restaurants/Retail,Sprouts Farmers Market,Growth,High,Medium,Network Model
MycoWorks,mycoworks.com,USA,Materials & Packaging,Biomaterials,B2B,"Fine Mycelium leather alternatives, luxury materials",Series C,$125M,Fashion partnerships,No,No,N/A,2013,100-500,$10M-50M,Fine Mycelium technology,Sustainable,Global,Luxury fashion,"Hermès, luxury brands",Growth,High,High,Technology Leader
Ecovative,ecovative.com,USA,Materials & Packaging,Biomaterials,B2B,"Mycelium packaging, materials, food ingredients",Series B,$60M+,Manufacturing partnerships,No,No,N/A,2007,100-500,$10M-50M,Mycelium technology,Sustainable,Global,Packaging/Food,Fortune 500 companies,Growth,High,High,Industry Pioneer
Bolt Threads,boltthreads.com,USA,Materials & Packaging,Biomaterials,B2B,"Mycelium leather, sustainable materials",Series C,$123M,Fashion partnerships,No,No,N/A,2009,100-500,$10M-50M,Mycelium materials,Sustainable,Global,Fashion/Apparel,"Adidas, Stella McCartney",Growth,High,High,Fashion Leader
